Concept Code,Lot Number,Tradename Picklist Term,DIN,Review Date,Expiry
7031000087105,UI256AA,Act-HIB® (Hib),1959034,04/07/2015,03/01/2016
7031000087105,L1243,Act-HIB® (Hib),1959034,05/21/2015,05/31/2014
7031000087105,UI412AA,Act-HIB® (Hib),1959034,11/05/2015,05/31/2017
7031000087105,M1137,Act-HIB® (Hib),1959034,02/16/2016,02/28/2018
7031000087105,UI559AA,Act-HIB® (Hib),1959034,11/15/2016,02/28/2018
7031000087105,UI609AA,Act-HIB® (Hib),1959034,11/15/2016,02/28/2018
7031000087105,N1C27,Act-HIB® (Hib),1959034,12/15/2016,02/28/2019
7431000087103,C4771A,Adacel® (Tdap),2240255,01/14/2015,06/30/2017
7431000087103,C4615AC,Adacel® (Tdap),2240255,01/14/2015,09/30/2016
7431000087103,C4615AF,Adacel® (Tdap),2240255,01/14/2015,09/30/2016
7431000087103,C4816A,Adacel® (Tdap),2240255,03/26/2015,08/31/2017
7431000087103,C4590AN,Adacel® (Tdap),2240255,04/07/2015,08/31/2016
7431000087103,C4665AA,Adacel® (Tdap),2240255,04/07/2015,11/30/2016
7431000087103,C4674AC,Adacel® (Tdap),2240255,04/07/2015,11/30/2016
7431000087103,C4675AD,Adacel® (Tdap),2240255,04/07/2015,11/30/2016
7431000087103,C4676AG,Adacel® (Tdap),2240255,04/07/2015,01/31/2017
7431000087103,C4677A,Adacel® (Tdap),2240255,06/24/2015,06/30/2017
7431000087103,C4816AH,Adacel® (Tdap),2240255,09/03/2015,08/31/2017
7431000087103,C4771AE,Adacel® (Tdap),2240255,09/03/2015,06/30/2017
7431000087103,C4816AB,Adacel® (Tdap),2240255,09/03/2015,08/21/2017
7431000087103,C4920A,Adacel® (Tdap),2240255,10/22/2015,12/31/2017
7431000087103,C4920B,Adacel® (Tdap),2240255,10/22/2015,12/31/2017
7431000087103,C4869A,Adacel® (Tdap),2240255,11/03/2015,12/31/2017
7431000087103,C4869B,Adacel® (Tdap),2240255,11/03/2015,12/31/2017
7431000087103,C4673AE,Adacel® (Tdap),2240255,11/05/2015,11/30/2016
7431000087103,C4677AD,Adacel® (Tdap),2240255,11/05/2015,06/30/2017
7431000087103,C4797A,Adacel® (Tdap),2240255,11/06/2015,08/31/2017
7431000087103,C4960A,Adacel® (Tdap),2240255,11/12/2015,02/28/2018
7431000087103,C4934A,Adacel® (Tdap),2240255,11/12/2015,02/28/2018
7431000087103,C4800A,Adacel® (Tdap),2240255,11/27/2015,08/31/2017
7431000087103,C4800B,Adacel® (Tdap),2240255,11/27/2015,08/31/2017
7431000087103,C4932A,Adacel® (Tdap),2240255,12/01/2015,01/31/2018
7431000087103,C4933A,Adacel® (Tdap),2240255,12/11/2015,02/28/2018
7431000087103,C5015A,Adacel® (Tdap),2240255,12/22/2015,07/31/2018
7431000087103,C4675AE,Adacel® (Tdap),2240255,01/22/2016,11/30/2016
7431000087103,C5003A,Adacel® (Tdap),2240255,04/25/2016,06/30/2018
7431000087103,C5003B,Adacel® (Tdap),2240255,04/25/2016,06/30/2018
7431000087103,C4986A,Adacel® (Tdap),2240255,05/11/2016,04/30/2018
7431000087103,C4994A,Adacel® (Tdap),2240255,05/11/2016,05/31/2018
7431000087103,C4994B,Adacel® (Tdap),2240255,05/11/2016,05/31/2018
7431000087103,C4933AD,Adacel® (Tdap),2240255,07/25/2016,02/28/2018
7431000087103,C4932AA,Adacel® (Tdap),2240255,07/25/2016,01/31/2018
7431000087103,C4960AG,Adacel® (Tdap),2240255,07/25/2016,02/28/2018
7431000087103,C4800AC,Adacel® (Tdap),2240255,07/25/2016,08/31/2017
7431000087103,C4800AA,Adacel® (Tdap),2240255,07/25/2016,08/31/2017
7431000087103,C4869AA,Adacel® (Tdap),2240255,07/25/2016,12/31/2017
7431000087103,C4920AA,Adacel® (Tdap),2240255,07/25/2016,12/31/2017
7431000087103,C5080A,Adacel® (Tdap),2240255,08/22/2016,09/30/2018
7431000087103,C5174A,Adacel® (Tdap),2240255,08/25/2016,02/28/2019
7431000087103,C5133A,Adacel® (Tdap),2240255,09/08/2016,01/31/2019
7431000087103,C5003BE,Adacel® (Tdap),2240255,09/20/2016,06/30/2018
7431000087103,C5134A,Adacel® (Tdap),2240255,09/28/2016,01/31/2019
7431000087103,C5159A,Adacel® (Tdap),2240255,09/28/2016,01/31/2019
7431000087103,C5072A,Adacel® (Tdap),2240255,10/04/2016,09/30/2018
7431000087103,C5083A,Adacel® (Tdap),2240255,10/05/2016,09/30/2018
7431000087103,C5083B,Adacel® (Tdap),2240255,10/05/2016,09/30/2018
7431000087103,C4995A,Adacel® (Tdap),2240255,10/26/2016,05/31/2018
7431000087103,C4995B,Adacel® (Tdap),2240255,10/26/2016,05/31/2018
7431000087103,C5163A,Adacel® (Tdap),2240255,11/15/2016,02/28/2019
7431000087103,C4994AA,Adacel® (Tdap),2240255,11/15/2016,05/31/2018
7431000087103,C5015AC,Adacel® (Tdap),2240255,11/15/2016,07/31/2018
7431000087103,C4817A,Adacel® (Tdap),2240255,12/09/2016,08/31/2017
7431000087103,C5203A,Adacel® (Tdap),2240255,01/24/2017,04/30/2019
7431000087103,C5203B,Adacel® (Tdap),2240255,01/24/2017,04/30/2019
7431000087103,C5192A,Adacel® (Tdap),2240255,02/02/2017,04/30/2019
7431000087103,C5286A,Adacel® (Tdap),2240255,02/15/2017,09/30/2019
7431000087103,C5286B,Adacel® (Tdap),2240255,02/15/2017,09/30/2019
7481000087104,L0242,Adacel®-Polio (Tdap-IPV),2352044,09/16/2015,04/30/2017
7481000087104,M0070,Adacel®-Polio (Tdap-IPV),2352044,04/08/2016,09/30/2017
7481000087104,M0224,Adacel®-Polio (Tdap-IPV),2352044,04/14/2016,02/28/2018
7481000087104,M0222,Adacel®-Polio (Tdap-IPV),2352044,06/06/2016,02/28/2018
7481000087104,M0255,Adacel®-Polio (Tdap-IPV),2352044,07/14/2016,03/31/2018
7481000087104,M0262,Adacel®-Polio (Tdap-IPV),2352044,07/22/2016,06/30/2018
7481000087104,M0323,Adacel®-Polio (Tdap-IPV),2352044,08/04/2016,06/30/2018
7481000087104,N1D91,Adacel®-Polio (Tdap-IPV),2352044,11/24/2016,12/31/2018
7481000087104,N1D60,Adacel®-Polio (Tdap-IPV),2352044,12/28/2016,12/31/2018
7481000087104,N1A82,Adacel®-Polio (Tdap-IPV),2352044,03/16/2017,09/30/2018
19311000087109,148101,BEXSERO® (Men-B),2417030,11/05/2015,08/31/2016
19311000087109,152001B,BEXSERO® (Men-B),2417030,01/06/2016,02/28/2017
19311000087109,146101B,BEXSERO® (Men-B),2417030,03/29/2016,10/31/2016
19311000087109,144701B,BEXSERO® (Men-B),2417030,03/29/2016,10/31/2016
19311000087109,145001A,BEXSERO® (Men-B),2417030,03/29/2016,09/30/2016
19311000087109,154401A,BEXSERO® (Men-B),2417030,04/04/2016,05/31/2017
19311000087109,154901C,BEXSERO® (Men-B),2417030,04/15/2016,06/30/2017
19311000087109,157021,BEXSERO® (Men-B),2417030,07/29/2016,08/31/2017
19311000087109,15D301A,BEXSERO® (Men-B),2417030,08/24/2016,10/31/2017
19311000087109,159101A,BEXSERO® (Men-B),2417030,11/02/2016,09/30/2017
19311000087109,162101B,BEXSERO® (Men-B),2417030,02/07/2017,01/31/2018
19311000087109,161801A,BEXSERO® (Men-B),2417030,02/07/2017,01/31/2018
7441000087109,AC37B178AD,Boostrix® (Tdap),2247600,03/18/2015,04/30/2017
7441000087109,AC37B178AC,Boostrix® (Tdap),2247600,03/31/2015,04/30/2017
7441000087109,AC37B189AF,Boostrix® (Tdap),2247600,04/17/2015,08/31/2017
7441000087109,AC37B189AH,Boostrix® (Tdap),2247600,06/29/2015,08/31/2015
7441000087109,AC37B197AE,Boostrix® (Tdap),2247600,08/04/2015,10/31/2017
7441000087109,AC37B200BE,Boostrix® (Tdap),2247600,02/12/2016,11/30/2017
7441000087109,AC37B200BG,Boostrix® (Tdap),2247600,02/19/2016,11/30/2017
7441000087109,AC37B200BH,Boostrix® (Tdap),2247600,04/20/2016,11/30/2017
7441000087109,AC37B227BA,Boostrix® (Tdap),2247600,07/06/2016,10/31/2018
7441000087109,AC37B241AB,Boostrix® (Tdap),2247600,08/09/2016,01/31/2019
7441000087109,AC37B241AC,Boostrix® (Tdap),2247600,10/04/2016,01/31/2019
7441000087109,AC37B241AD,Boostrix® (Tdap),2247600,10/20/2016,01/31/2019
7441000087109,AC37B247AA,Boostrix® (Tdap),2247600,01/12/2017,05/31/2019
7441000087109,AC37B247AC,Boostrix® (Tdap),2247600,01/12/2017,05/31/2019
7441000087109,AC37B247AD,Boostrix® (Tdap),2247600,02/03/2017,05/31/2019
7491000087102,AC39B077AA,Boostrix®-Polio (Tdap-IPV),2312557,08/07/2015,12/31/2017
7491000087102,AC39B077AB,Boostrix®-Polio (Tdap-IPV),2312557,08/31/2015,12/31/2017
7491000087102,AC39B077AF,Boostrix®-Polio (Tdap-IPV),2312557,12/01/2015,12/31/2017
7491000087102,AC39B098BA,Boostrix®-Polio (Tdap-IPV),2312557,11/22/2016,02/28/2019
7491000087102,AC39B098BB,Boostrix®-Polio (Tdap-IPV),2312557,11/22/2016,02/28/2019
7491000087102,AC39B098BC,Boostrix®-Polio (Tdap-IPV),2312557,11/22/2016,02/28/2019
7491000087102,AC39B098BD,Boostrix®-Polio (Tdap-IPV),2312557,11/22/2016,02/28/2019
7491000087102,AC39B098BE,Boostrix®-Polio (Tdap-IPV),2312557,01/12/2017,02/28/2019
7491000087102,AC39B098BG,Boostrix®-Polio (Tdap-IPV),2312557,03/02/2017,02/28/2019
7401000087106,KV4407B3,Dukoral® (Chol-Ecol-O),2247208,02/06/2015,08/31/2017
7401000087106,KV4409A1,Dukoral® (Chol-Ecol-O),2247208,02/06/2015,08/31/2017
7401000087106,KV4408A1,Dukoral® (Chol-Ecol-O),2247208,02/06/2015,08/31/2014
7401000087106,KV4408A2,Dukoral® (Chol-Ecol-O),2247208,02/06/2015,08/31/2017
7401000087106,KV4409A2,Dukoral® (Chol-Ecol-O),2247208,05/28/2015,09/30/2017
7401000087106,KV4409B2,Dukoral® (Chol-Ecol-O),2247208,06/04/2015,09/30/2017
7401000087106,KV4411A1,Dukoral® (Chol-Ecol-O),2247208,06/10/2015,10/31/2017
7401000087106,KV4409B1,Dukoral® (Chol-Ecol-O),2247208,06/11/2015,09/30/2017
7401000087106,KV5413A1,Dukoral® (Chol-Ecol-O),2247208,06/25/2015,01/31/2018
7401000087106,KV4411B1,Dukoral® (Chol-Ecol-O),2247208,06/25/2015,10/31/2017
7401000087106,KV5413B1,Dukoral® (Chol-Ecol-O),2247208,06/30/2015,01/31/2018
7401000087106,KV5413B2,Dukoral® (Chol-Ecol-O),2247208,06/30/2015,01/31/2018
7401000087106,KV5415A1,Dukoral® (Chol-Ecol-O),2247208,08/13/2015,02/28/2018
7401000087106,KV5415A2,Dukoral® (Chol-Ecol-O),2247208,08/13/2015,02/28/2018
7401000087106,KV5415B1,Dukoral® (Chol-Ecol-O),2247208,09/03/2015,02/28/2018
7401000087106,KV5415B2,Dukoral® (Chol-Ecol-O),2247208,09/28/2015,02/28/2018
7401000087106,KV5417A1,Dukoral® (Chol-Ecol-O),2247208,09/28/2015,03/31/2018
7401000087106,KV5417B1,Dukoral® (Chol-Ecol-O),2247208,09/30/2015,03/31/2018
7401000087106,KV5418A1,Dukoral® (Chol-Ecol-O),2247208,10/08/2015,03/31/2018
7401000087106,KV5418B1,Dukoral® (Chol-Ecol-O),2247208,10/15/2015,03/31/2018
7401000087106,KV5414A3,Dukoral® (Chol-Ecol-O),2247208,10/15/2015,02/28/2018
7401000087106,KV5422A1,Dukoral® (Chol-Ecol-O),2247208,11/05/2015,05/31/2018
7401000087106,KV5423A1,Dukoral® (Chol-Ecol-O),2247208,11/12/2015,05/31/2018
7401000087106,KV5422A2,Dukoral® (Chol-Ecol-O),2247208,11/12/2015,05/31/2018
7401000087106,KV5427A1,Dukoral® (Chol-Ecol-O),2247208,12/01/2015,09/30/2018
7401000087106,KV5428A1,Dukoral® (Chol-Ecol-O),2247208,12/17/2015,09/30/2018
7401000087106,KV5428B1,Dukoral® (Chol-Ecol-O),2247208,01/04/2016,09/30/2018
7401000087106,KV5428B2,Dukoral® (Chol-Ecol-O),2247208,01/04/2016,09/30/2018
7401000087106,KV5429B1,Dukoral® (Chol-Ecol-O),2247208,01/14/2016,09/30/2018
7401000087106,KV5429A1,Dukoral® (Chol-Ecol-O),2247208,01/14/2016,09/30/2018
7401000087106,KV5430A1,Dukoral® (Chol-Ecol-O),2247208,01/19/2016,10/31/2018
7401000087106,KV5434B2,Dukoral® (Chol-Ecol-O),2247208,04/28/2016,10/31/2018
7401000087106,KV5430B1,Dukoral® (Chol-Ecol-O),2247208,04/28/2016,10/31/2018
7401000087106,KV6443A1,Dukoral® (Chol-Ecol-O),2247208,08/24/2016,03/31/2019
7401000087106,KV6440A1,Dukoral® (Chol-Ecol-O),2247208,08/30/2016,02/28/2019
7401000087106,KV6443B1,Dukoral® (Chol-Ecol-O),2247208,09/26/2016,03/31/2019
7401000087106,KV6445A1,Dukoral® (Chol-Ecol-O),2247208,09/27/2016,04/30/2019
7401000087106,KV6443A2,Dukoral® (Chol-Ecol-O),2247208,10/04/2016,03/31/2019
7401000087106,KV6445B1,Dukoral® (Chol-Ecol-O),2247208,10/13/2016,04/30/2019
7401000087106,KV6449A1,Dukoral® (Chol-Ecol-O),2247208,10/24/2016,05/31/2019
7401000087106,KV6449B1,Dukoral® (Chol-Ecol-O),2247208,11/28/2016,05/31/2019
7401000087106,KV6452A1,Dukoral® (Chol-Ecol-O),2247208,12/08/2016,08/31/2019
